,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,cleaned_tweet,cluster,label,score
0,1844732882407067670,Fri Oct 11 13:32:47 +0000 2024,3800,Timnas bahrain harusnya malu sih karena media asing mulai menotice Kontroversi dari wasit Ahmed Al Kaf pada laga indonesia vs bahrain. Bahkan beberapa dari media asing mengatakan poin yang didapat bahrain tadi malam karena dibantu oleh wasit. #TimnasDay #afcmafia https://t.co/eNFBelLUWL,1844732882407067670,https://pbs.twimg.com/media/GZnOrwCbYAAc5wI.jpg,,in,,18,80,996,https://x.com/satria_gigin/status/1844732882407067670,1519990804495826944,satria_gigin,timnas bahrain harusnya malu sih karena media asing mulai menotice kontroversi dari wasit ahmed al kaf pada laga indonesia vs bahrain bahkan beberapa dari media asing mengatakan poin yang didapat bahrain tadi malam karena dibantu oleh wasit,1,negative,0.9985355138778687
1,1844644175893127511,Fri Oct 11 07:40:18 +0000 2024,6031,Media luar mulai menyorot terkait kontroversi dari wasit Ahmed Al Kaf yang membiarkan waktu terus berjalan meskipun waktu pertandingan sudah habis hal inilah membuat indonesia gagal menang. Kontroversi dari wasit ini juga dianggap memihak ke bahrain. #TimnasDay #afcmafia https://t.co/H5roQsuUmT,1844644175893127511,https://pbs.twimg.com/ext_tw_video_thumb/1844644069445902336/pu/img/VpoEPje-TFkwpbzE.jpg,,in,,24,168,1568,https://x.com/satria_gigin/status/1844644175893127511,1519990804495826944,satria_gigin,media luar mulai menyorot terkait kontroversi dari wasit ahmed al kaf yang membiarkan waktu terus berjalan meskipun waktu pertandingan sudah habis hal inilah membuat indonesia gagal menang kontroversi dari wasit ini juga dianggap memihak ke bahrain,1,negative,0.9903928637504578
2,1844457016263368939,Thu Oct 10 19:16:35 +0000 2024,6253,Di video terlihat golnya persis ketika tulisan menitnya 98:40 berarti harusnya tertulis 90+9. Tapi Bahrain malah nulisnya 90+6. Pemainnya gak gentle tim socmednya gak jujur + dibantu wasit. Malam yg berat buat Timnas Indonesia #TimnasDay https://t.co/jXgW1CZ3QC https://t.co/Rb2zSzywAz,1844457016263368939,https://pbs.twimg.com/media/GZjT4AcbIAAniwI.jpg,,in,Jaksel,49,192,1264,https://x.com/kamar_agung/status/1844457016263368939,134056083,kamar_agung,di video terlihat golnya persis ketika tulisan menitnya  berarti harusnya tertulis  tapi bahrain malah nulisnya  pemainnya gak gentle tim socmednya gak jujur  dibantu wasit malam yg berat buat timnas indonesia,0,negative,0.9997966885566711
3,1844542073338462384,Fri Oct 11 00:54:34 +0000 2024,41134, | Rangkuman kecurangan wasit Ahmed Al-Kaf di pertandingan Indonesia vs Bahrain semalam: - Wasit terlihat sangat memihak ke Bahrain. Pemain Bahrain disenggol dikit langsung pelanggaran tetapi jarang memberikan pelanggaran untuk Indonesia padahal kontaknya lebih keras. - https://t.co/UKbEusoHI1,1844542073338462384,https://pbs.twimg.com/media/GZkhPYrbIAA1Lut.jpg,,in,,438,1478,8900,https://x.com/utdabout/status/1844542073338462384,3029512724,utdabout,rangkuman kecurangan wasit ahmed alkaf di pertandingan indonesia vs bahrain semalam  wasit terlihat sangat memihak ke bahrain pemain bahrain disenggol dikit langsung pelanggaran tetapi jarang memberikan pelanggaran untuk indonesia padahal kontaknya lebih keras,1,neutral,0.9924483299255371
4,1844695288566698322,Fri Oct 11 11:03:24 +0000 2024,38803, Bahrain have a lot of money but dont have a class recall recall di Bahrain Terimakasih mbak sudah mewakilkan emosi kita gara gara Wasit FIFA &amp; AFC‼️ #AFCMafia #TimnasDay https://t.co/SfueZjYw6N,1844695288566698322,https://pbs.twimg.com/amplify_video_thumb/1844695202155610112/img/7257if52LmttkgF-.jpg,,in,,766,908,11792,https://x.com/aingriwehuy/status/1844695288566698322,1718574113676304384,aingriwehuy,bahrain have a lot of money but dont have a class recall recall di bahrain terimakasih mbak sudah mewakilkan emosi kita gara gara wasit fifa amp afc,2,negative,0.7147883176803589
5,1844600481555021888,Fri Oct 11 04:46:40 +0000 2024,19302,Bantu doa der ini wasit gk kalah kontroversialnya pas laga Australia VS Bahrain dimana pemain australia dia kasih kartu merah dan Bahrain menang atas Australia https://t.co/kdAADtQo4M,1844600481555021888,https://pbs.twimg.com/media/GZlWW6hbgAAdaiT.jpg,,in,대전,364,1458,2130,https://x.com/kegblgnunfaedh/status/1844600481555021888,1172167188800655360,kegblgnunfaedh,bantu doa der ini wasit gk kalah kontroversialnya pas laga australia vs bahrain dimana pemain australia dia kasih kartu merah dan bahrain menang atas australia,0,neutral,0.6614336967468262
6,1844445768754835498,Thu Oct 10 18:31:54 +0000 2024,31989,Ini jelas ada indikasi kalau offside. - Gak cek var setelah gol - Setelah gol di sahkan begitu kick off langsung tiup pluit Tambahan: Bersentuhan sama pemain Bahrain itu pelanggan. Asu tenan iki wasit sumpah anjing anjing https://t.co/sJA51PLE51,1844445768754835498,https://pbs.twimg.com/media/GZjJNKVaAAgf-Ry.jpg,,in,"Jakarta, Indonesia",392,1057,6606,https://x.com/dikyramaa_/status/1844445768754835498,609795655,dikyramaa_,ini jelas ada indikasi kalau offside  gak cek var setelah gol  setelah gol di sahkan begitu kick off langsung tiup pluit tambahan bersentuhan sama pemain bahrain itu pelanggan asu tenan iki wasit sumpah anjing anjing,0,negative,0.9758849143981934
7,1844455742163829034,Thu Oct 10 19:11:31 +0000 2024,73327,Media belanda pemain timnas philipina orang malaysia naver &amp; pann korea. Semua bahas Indonesia dicurangi wasit yang gak beres. So the problem is on you ya bahrain.,1844455742163829034,,,in,,399,197,13598,https://x.com/happyandl0ve/status/1844455742163829034,1410133058250940417,happyandl0ve,media belanda pemain timnas philipina orang malaysia naver amp pann korea semua bahas indonesia dicurangi wasit yang gak beres so the problem is on you ya bahrain,2,negative,0.9990124702453613
8,1844643002091999420,Fri Oct 11 07:35:38 +0000 2024,8444,6 menit extra time--&gt; 9 menit (Bahrain) menyamakan gol Wasit bias dan memalukan ini memang layak disanksi! https://t.co/AbSxdoACvS,1844643002091999420,https://pbs.twimg.com/media/GZl85qBaAAAdbz6.jpg,,in,Indonesia,17,51,1391,https://x.com/ainurohman/status/1844643002091999420,132276059,ainurohman,menit extra timegt  menit bahrain menyamakan gol wasit bias dan memalukan ini memang layak disanksi,0,negative,0.9619357585906982
9,1844442090065047735,Thu Oct 10 18:17:17 +0000 2024,8814,This corrupt referee paid by someone to Cheat Indonesian FC Team. The worst football referee in the AFC history. @afcasiancup #wasit #referee #afc #bahrain #indonesia #FIFA #TimnasDay https://t.co/7SSgQ6nTIW,1844442090065047735,https://pbs.twimg.com/media/GZjGTkzbcAAFa-i.jpg,,en,,101,411,3336,https://x.com/future27857746/status/1844442090065047735,1499729474111213571,future27857746,this corrupt referee paid by someone to cheat indonesian fc team the worst football referee in the afc history,2,neutral,0.9994683861732483
